|stars|categories
0|3.5|{u'Health & Medical': 1, u'Doctors': 1}
1|4.0|{u'Restaurants': 1}
2|4.0|{u'American (Traditional)': 1, u'Restaurants': 1}
3|4.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Restaurants': 1, u'Fast Food': 1}
4|4.0|{u'Chinese': 1, u'Restaurants': 1}
5|1.5|{u'Television Stations': 1, u'Mass Media': 1}
6|2.0|{u'Heating & Air Conditioning/HVAC': 1, u'Home Services': 1}
7|2.5|{u'Libraries': 1, u'Public Services & Government': 1}
8|4.5|{u'Pets': 1, u'Veterinarians': 1}
9|3.5|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Lounges': 1, u'Restaurants': 1}
10|5.0|{u'Bed & Breakfast': 1, u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
11|1.5|{u'Bowling': 1, u'Active Life': 1}
12|3.5|{u'Restaurants': 1, u'Pizza': 1}
13|3.5|{u'Chinese': 1, u'Restaurants': 1}
14|4.0|{u'Caterers': 1, u'Event Planning & Services': 1, u'Party & Event Planning': 1}
15|3.0|{u'Asian Fusion': 1, u'Restaurants': 1, u'Venues & Event Spaces': 1, u'Event Planning & Services': 1, u'Party & Event Planning': 1}
16|3.0|{u'Mexican': 1, u'Restaurants': 1}
17|3.5|{u'Stadiums & Arenas': 1, u'Arts & Entertainment': 1, u'Active Life': 1}
18|4.5|{u'Pet Services': 1, u'Pets': 1}
19|4.5|{u'Hotels': 1, u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Venues & Event Spaces': 1}
20|5.0|{u'Pilates': 1, u'Yoga': 1, u'Fitness & Instruction': 1, u'Weight Loss Centers': 1, u'Active Life': 1, u'Health & Medical': 1}
21|3.0|{u'Restaurants': 1, u'Chicken Wings': 1, u'Sandwiches': 1, u'Pizza': 1}
22|3.0|{u'Cards & Stationery': 1, u'Shopping': 1, u'Flowers & Gifts': 1, u'Arts & Crafts': 1, u'Art Supplies': 1, u'Event Planning & Services': 1}
23|4.0|{u'Hobby Shops': 1, u'Shopping': 1, u'Knitting Supplies': 1, u'Arts & Crafts': 1}
24|3.5|{u'Shopping': 1, u'Fashion': 1, u'Women's Clothing': 1, u'Shopping Centers': 1}
25|4.0|{u'Food': 1, u'Beer, Wine & Spirits': 1, u'Coffee & Tea': 1}
26|3.5|{u'Bakeries': 1, u'Food': 1, u'Restaurants': 1, u'Coffee & Tea': 1, u'Breakfast & Brunch': 1}
27|3.5|{u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'American (New)': 1}
28|3.0|{u'Chinese': 1, u'Restaurants': 1}
29|3.0|{u'Chinese': 1, u'Restaurants': 1}
30|5.0|{u'Pet Services': 1, u'Pets': 1, u'Pet Boarding/Pet Sitting': 1}
31|3.0|{u'Diners': 1, u'Restaurants': 1}
32|3.0|{u'Food': 1, u'Coffee & Tea': 1}
33|2.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1}
34|3.5|{u'Nightlife': 1}
35|4.0|{u'Burgers': 1, u'Restaurants': 1, u'Fast Food': 1}
36|5.0|{u'Pets': 1, u'Veterinarians': 1}
37|3.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
38|2.5|{u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
39|4.0|{u'Cajun/Creole': 1, u'Restaurants': 1}
40|2.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
41|3.5|{u'Amateur Sports Teams': 1, u'Active Life': 1}
42|3.5|{u'Bakeries': 1, u'Food': 1}
43|4.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
44|1.5|{u'Restaurants': 1, u'Pizza': 1}
45|4.0|{u'Breakfast & Brunch': 1, u'Restaurants': 1}
46|4.5|{u'Barbers': 1, u'Beauty & Spas': 1}
47|5.0|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Massage': 1, u'Day Spas': 1}
48|4.0|{u'Restaurants': 1, u'Bowling': 1, u'Active Life': 1}
49|3.5|{u'Libraries': 1, u'Public Services & Government': 1}
50|2.0|{u'American (Traditional)': 1, u'Restaurants': 1}
51|5.0|{u'Tires': 1, u'Automotive': 1, u'Oil Change Stations': 1, u'Auto Repair': 1}
52|5.0|{u'Tires': 1, u'Automotive': 1, u'Auto Repair': 1}
53|4.0|{u'Burgers': 1, u'Restaurants': 1, u'Fast Food': 1}
54|3.5|{u'Electronics': 1, u'Shopping': 1, u'Lighting Fixtures & Equipment': 1, u'Home Services': 1, u'Musical Instruments & Teachers': 1}
55|3.5|{u'Shoe Stores': 1, u'Fashion': 1, u'Shopping': 1}
56|4.0|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
57|3.0|{u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Drugstores': 1, u'Food': 1, u'Beauty & Spas': 1, u'Convenience Stores': 1}
58|3.0|{u'Men's Clothing': 1, u'Shopping': 1, u'Fashion': 1, u'Women's Clothing': 1}
59|3.0|{u'American (Traditional)': 1, u'Restaurants': 1}
60|4.5|{u'Optometrists': 1, u'Health & Medical': 1}
61|4.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Burgers': 1, u'Restaurants': 1}
62|2.0|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Skin Care': 1}
63|4.0|{u'Italian': 1, u'Restaurants': 1}
64|3.0|{u'Restaurants': 1}
65|2.5|{u'Restaurants': 1, u'American (New)': 1}
66|4.0|{u'Automotive': 1, u'Oil Change Stations': 1}
67|4.0|{u'Bakeries': 1, u'Food': 1, u'Donuts': 1, u'American (Traditional)': 1, u'Restaurants': 1}
68|2.0|{u'Shopping': 1, u'Fashion': 1, u'Women's Clothing': 1, u'Accessories': 1}
69|1.5|{u'Home Services': 1, u'Apartments': 1, u'Real Estate': 1}
70|2.5|{u'Landscape Architects': 1, u'Nurseries & Gardening': 1, u'Shopping': 1, u'Home Services': 1, u'Home & Garden': 1}
71|4.0|{u'Food': 1, u'Breweries': 1}
72|4.0|{u'Bakeries': 1, u'Food': 1}
73|3.5|{u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Car Dealers': 1, u'Auto Repair': 1}
74|1.5|{u'Burgers': 1, u'Restaurants': 1}
75|2.5|{u'Restaurants': 1, u'Chicken Wings': 1, u'Sandwiches': 1, u'Pizza': 1}
76|3.5|{u'Shipping Centers': 1, u'Notaries': 1, u'Printing Services': 1, u'Local Services': 1}
77|5.0|{u'Libraries': 1, u'Public Services & Government': 1}
78|4.0|{u'Chinese': 1, u'Restaurants': 1}
79|3.0|{u'Chinese': 1, u'Restaurants': 1}
80|3.0|{u'Videos & Video Game Rental': 1, u'Books, Mags, Music & Video': 1, u'Shopping': 1}
81|3.0|{u'Restaurants': 1}
82|3.0|{u'Chinese': 1, u'Restaurants': 1}
83|4.5|{u'Diners': 1, u'Restaurants': 1}
84|2.5|{u'Golf': 1, u'Active Life': 1}
85|1.0|{u'Restaurants': 1, u'Fast Food': 1}
86|4.5|{u'Fitness & Instruction': 1, u'Gyms': 1, u'Trainers': 1, u'Active Life': 1}
87|5.0|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Massage': 1, u'Day Spas': 1}
88|2.0|{u'Department Stores': 1, u'Fashion': 1, u'Shopping': 1}
89|3.5|{u'Race Tracks': 1, u'Arts & Entertainment': 1}
90|4.0|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Restaurants': 1, u'Fast Food': 1}
91|5.0|{u'Automotive': 1, u'Towing': 1, u'Auto Repair': 1}
92|4.5|{u'Guns & Ammo': 1, u'Shopping': 1}
93|4.0|{u'Party & Event Planning': 1, u'Golf': 1, u'Venues & Event Spaces': 1, u'Event Planning & Services': 1, u'Active Life': 1}
94|3.5|{u'American (Traditional)': 1, u'Restaurants': 1}
95|3.5|{u'Burgers': 1, u'Restaurants': 1, u'Fast Food': 1}
96|4.0|{u'Food': 1, u'Cheese Shops': 1, u'Specialty Food': 1}
97|3.5|{u'Mortgage Brokers': 1, u'Home Services': 1, u'Banks & Credit Unions': 1, u'Financial Services': 1, u'Real Estate': 1}
98|4.5|{u'Food': 1, u'Coffee & Tea': 1}
99|4.0|{u'Department Stores': 1, u'Fashion': 1, u'Shopping': 1}
100|3.5|{u'Chinese': 1, u'Restaurants': 1}
101|4.0|{u'Men's Clothing': 1, u'Shopping': 1, u'Children's Clothing': 1, u'Fashion': 1, u'Women's Clothing': 1}
102|3.0|{u'Mobile Phones': 1, u'Shopping': 1}
103|3.0|{u'Food': 1, u'Coffee & Tea': 1, u'Shopping': 1, u'Art Galleries': 1, u'Arts & Entertainment': 1}
