|city|stars
0|Phoenix|3.5
1|De Forest|4.0
2|De Forest|4.0
3|De Forest|4.5
4|De Forest|4.0
5|Mc Farland|1.5
6|Mc Farland|2.0
7|Mc Farland|2.5
8|Mc Farland|4.5
9|Mc Farland|3.5
10|Mc Farland|5.0
11|Mc Farland|1.5
12|Mc Farland|3.5
13|Mc Farland|3.5
14|Middleton|4.0
15|Middleton|3.0
16|Middleton|3.0
17|Middleton|3.5
18|Middleton|4.5
19|Middleton|4.5
20|Middleton|5.0
21|Middleton|3.0
22|Middleton|3.0
23|Middleton|4.0
24|Middleton|3.5
25|Middleton|4.0
26|Middleton|3.5
27|Middleton|3.5
28|Middleton|3.0
29|Middleton|3.0
30|Middleton|5.0
31|Middleton|3.0
32|Middleton|3.0
33|Middleton|2.5
34|Middleton|3.5
35|Middleton|4.0
36|Middleton|5.0
37|Middleton|3.5
38|Middleton|2.5
39|Middleton|4.0
40|Middleton|2.5
41|Middleton|3.5
42|Middleton|3.5
43|Middleton|4.0
44|Middleton|1.5
45|Middleton|4.0
46|Middleton|4.5
47|Middleton|5.0
48|Middleton|4.0
49|Middleton|3.5
50|Middleton|2.0
51|Middleton|5.0
52|Middleton|5.0
53|Middleton|4.0
54|Madison|3.5
55|Middleton|3.5
56|Middleton|4.0
57|Middleton|3.0
58|Madison|3.0
59|Middleton|3.0
60|Middleton|4.5
61|Middleton|4.5
62|Middleton|2.0
63|Middleton|4.0
64|Middleton|3.0
65|Middleton|2.5
66|Middleton|4.0
67|Middleton|4.0
68|Middleton|2.0
69|Middleton|1.5
70|Middleton|2.5
71|Middleton|4.0
72|Middleton|4.0
73|Middleton|3.5
74|Sun Prairie|1.5
75|Sun Prairie|2.5
76|Sun Prairie|3.5
77|Sun Prairie|5.0
78|Sun Prairie|4.0
79|Sun Prairie|3.0
80|Sun Prairie|3.0
81|Sun Prairie|3.0
82|Sun Prairie|3.0
83|Sun Prairie|4.5
84|Sun Prairie|2.5
85|Sun Prairie|1.0
86|Sun Prairie|4.5
87|Sun Prairie|5.0
88|Sun Prairie|2.0
89|Sun Prairie|3.5
90|Sun Prairie|4.0
91|Sun Prairie|5.0
92|Sun Prairie|4.5
93|Windsor|4.0
94|Windsor|3.5
95|Windsor|3.5
96|Windsor|4.0
97|Madison|3.5
98|Madison|4.5
99|Madison|4.0
100|Madison|3.5
101|Madison|4.0
102|Madison|3.0
103|Madison|3.0
104|Madison|5.0
105|Madison|3.5
106|Madison|3.5
107|Madison|2.5
108|Madison|1.5
109|Madison|1.5
110|Madison|5.0
111|Madison|2.0
112|Middleton|2.5
113|Madison|3.0
114|Madison|1.5
115|Madison|3.5
116|Madison|3.5
117|Madison|3.5
118|Madison|2.0
119|Madison|4.0
120|Madison|1.5
121|Madison|2.5
122|Madison|4.0
123|Madison|5.0
124|Madison|2.5
125|Madison|4.5
126|Madison|2.5
127|Madison|2.0
128|Madison|2.5
129|Madison|3.0
130|Madison|3.5
131|Madison|4.0
132|Madison|4.5
133|Madison|2.0
134|Madison|2.5
135|Madison|3.0
136|Madison|3.0
137|Madison|4.5
138|Madison|4.0
139|Madison|2.5
140|Madison|4.5
141|Madison|4.0
142|Madison|4.0
143|Madison|2.0
144|Madison|2.0
145|Madison|2.5
146|Madison|3.5
147|Madison|3.0
148|Madison|1.0
149|Madison|2.0
150|Madison|4.5
151|Madison|4.0
152|Madison|3.0
153|Madison|3.0
154|Madison|4.0
155|Madison|4.0
156|Madison|3.0
157|Madison|3.5
158|Madison|4.0
159|Madison|2.5
160|Madison|2.5
161|Madison|2.5
162|Madison|4.5
163|Madison|2.5
164|Madison|2.0
165|Madison|3.5
166|Madison|3.5
167|Madison|3.5
168|Madison|3.5
169|Madison|3.5
170|Madison|4.0
171|Madison|4.0
172|Madison|4.5
173|Madison|5.0
174|Madison|3.5
175|Madison|4.0
176|Madison|4.0
177|Madison|4.5
178|Madison|3.0
