|city|stars|longitude|latitude
0|Phoenix|3.5|-111.983758|33.499313
1|De Forest|4.0|-89.335844|43.238893
2|De Forest|4.0|-89.353437|43.252267
3|De Forest|4.5|-89.374983|43.251045
4|De Forest|4.0|-89.3437217|43.2408748
5|Mc Farland|1.5|-89.3229199|42.9685074
6|Mc Farland|2.0|-89.2985442|43.0303561
7|Mc Farland|2.5|-89.294175|43.014093
8|Mc Farland|4.5|-89.299119|43.017124
9|Mc Farland|3.5|-89.303789|43.017701
10|Mc Farland|5.0|-89.285206|43.015931
11|Mc Farland|1.5|-89.3021641|43.0131557
12|Mc Farland|3.5|-89.288567|43.014164
13|Mc Farland|3.5|-89.2986278|43.0179387
14|Middleton|4.0|-89.4918|43.093265
15|Middleton|3.0|-89.485169|43.090642
16|Middleton|3.0|-89.4874867|43.0910607
17|Middleton|3.5|-89.5264281|43.1101571
18|Middleton|4.5|-89.527273|43.077415
19|Middleton|4.5|-89.516038|43.096271
20|Middleton|5.0|-89.4860822|43.1030719
21|Middleton|3.0|-89.4862189|43.1003841
22|Middleton|3.0|-89.5235246|43.0954975
23|Middleton|4.0|-89.5277025|43.0929029
24|Middleton|3.5|-89.52845|43.091816
25|Middleton|4.0|-89.513737|43.096359
26|Middleton|3.5|-89.496995|43.107227
27|Middleton|3.5|-89.5111616|43.1014598
28|Middleton|3.0|-89.5284801808|43.0753452677
29|Middleton|3.0|-89.4864907|43.1036633
30|Middleton|5.0|-89.511068|43.100808
31|Middleton|3.0|-89.5241674|43.0905631
32|Middleton|3.0|-89.5256818|43.0904559
33|Middleton|2.5|-89.5235823|43.0954855
34|Middleton|3.5|-89.491807|43.103427
35|Middleton|4.0|-89.5250779|43.090653
36|Middleton|5.0|-89.5022518|43.082611
37|Middleton|3.5|-89.5233883|43.0901268
38|Middleton|2.5|-89.5128222|43.095696
39|Middleton|4.0|-89.5110574|43.0955526
40|Middleton|2.5|-89.523172|43.087887
41|Middleton|3.5|-89.511857|43.1083799
42|Middleton|3.5|-89.51178|43.1060972
43|Middleton|4.0|-89.525484|43.092882
44|Middleton|1.5|-89.4949208|43.0955472
45|Middleton|4.0|-89.511243|43.0999335
46|Middleton|4.5|-89.4904366|43.0926846
47|Middleton|5.0|-89.4971837|43.1077693
48|Middleton|4.0|-89.4997902|43.0969474
49|Middleton|3.5|-89.5092899|43.094959
50|Middleton|2.0|-89.4944219|43.104535
51|Middleton|5.0|-89.5277451|43.0994184
52|Middleton|5.0|-89.493464|43.095357
53|Middleton|4.0|-89.5160417|43.0976883
54|Madison|3.5|-89.5586484|43.0570227
55|Middleton|3.5|-89.5277025|43.0929029
56|Middleton|4.0|-89.5120419|43.095724
57|Middleton|3.0|-89.5271245|43.075383
58|Madison|3.0|-89.5093171|43.0570899
59|Middleton|3.0|-89.5021602|43.0844596
60|Middleton|4.5|-89.5280385|43.0749226
61|Middleton|4.5|-89.5113122|43.1062742
62|Middleton|2.0|-89.497265|43.0966499
63|Middleton|4.0|-89.5109658|43.0955423
64|Middleton|3.0|-89.513737|43.096359
65|Middleton|2.5|-89.4949394|43.0968907
66|Middleton|4.0|-89.4933701|43.0947544
67|Middleton|4.0|-89.48674|43.102896
68|Middleton|2.0|-89.5253382|43.09384
69|Middleton|1.5|-89.4707159|43.1136024
70|Middleton|2.5|-89.5112867653|43.1052072794
71|Middleton|4.0|-89.51625|43.094876
72|Middleton|4.0|-89.4957363|43.0961424
73|Middleton|3.5|-89.5104646683|43.1109151584
74|Sun Prairie|1.5|-89.2275279|43.1876921
75|Sun Prairie|2.5|-89.2185271|43.1832772
76|Sun Prairie|3.5|-89.2340467|43.1798191
77|Sun Prairie|5.0|-89.23571|43.175676
78|Sun Prairie|4.0|-89.2287907|43.1876509
79|Sun Prairie|3.0|-89.2304766|43.1807862
80|Sun Prairie|3.0|-89.226643|43.187917
81|Sun Prairie|3.0|-89.2255538|43.1822682
82|Sun Prairie|3.0|-89.2482454|43.1753813
83|Sun Prairie|4.5|-89.230853|43.188072
84|Sun Prairie|2.5|-89.2260475|43.2241678
85|Sun Prairie|1.0|-89.231699|43.186768
86|Sun Prairie|4.5|-89.2255595|43.1941768
87|Sun Prairie|5.0|-89.2124176025|43.1836504964
88|Sun Prairie|2.0|-89.245982|43.174517
89|Sun Prairie|3.5|-89.2100449|43.1798042
90|Sun Prairie|4.0|-89.225254|43.1824889
91|Sun Prairie|5.0|-89.192955|43.205895
92|Sun Prairie|4.5|-89.211321|43.195821
93|Windsor|4.0|-89.3524764|43.2072666
94|Windsor|3.5|-89.3387925625|43.1934048235
95|Windsor|3.5|-89.344187|43.19553
96|Windsor|4.0|-89.343511|43.196191
97|Madison|3.5|-89.526072|43.074466
98|Madison|4.5|-89.3439745|43.1035763
99|Madison|4.0|-89.3066659|43.1193998
100|Madison|3.5|-89.3083769|43.120575
